draw,mu_1,sigma
636,0.05313005670905113,0.4939768612384796
637,0.048900306224823,0.4513428211212158
638,-0.007054401561617851,0.4354012608528137
639,-0.008085167035460472,0.4427904486656189
640,-0.044749170541763306,0.4852198362350464
641,0.08540039509534836,0.423298716545105
642,-0.0005435794591903687,0.45120862126350403
643,0.10176177322864532,0.45660772919654846
644,0.08074456453323364,0.457536518573761
645,0.059530578553676605,0.4297068119049072
646,-0.0032564233988523483,0.41700053215026855
647,0.07748616486787796,0.44652438163757324
648,0.04313739389181137,0.42076629400253296
649,0.06060083210468292,0.419634073972702
650,0.10252734273672104,0.4512762427330017
651,0.039345283061265945,0.4516149163246155
652,0.11656952649354935,0.44729289412498474
653,0.04605839401483536,0.44209742546081543
654,0.08286905288696289,0.43037763237953186
655,-0.02093401364982128,0.4077542722225189
656,0.04085764288902283,0.44544389843940735
657,0.06227649003267288,0.5144785642623901
658,0.04086305946111679,0.48034071922302246
659,0.031008906662464142,0.48215728998184204
660,-0.003842843696475029,0.47394686937332153
661,0.03720870614051819,0.45223256945610046
662,-0.035678066313266754,0.5094459652900696
663,0.051172055304050446,0.48674970865249634
664,0.04450535774230957,0.45326846837997437
665,0.10071013867855072,0.46382367610931396
666,0.020172715187072754,0.42943766713142395
667,0.022197594866156578,0.4650636911392212
668,0.05081981420516968,0.42584261298179626
669,0.040898121893405914,0.43478691577911377
670,0.07167002558708191,0.4189043641090393
671,0.048937730491161346,0.4659382402896881
672,0.03528757020831108,0.48079535365104675
673,0.012004429474473,0.423179030418396
674,-0.04002196341753006,0.4236763119697571
675,0.018504872918128967,0.4414525628089905
676,0.03636952489614487,0.4390535354614258
677,0.052318159490823746,0.4513247311115265
678,-0.015661435201764107,0.4053630232810974
679,0.020699121057987213,0.4524614214897156
680,0.019902575761079788,0.4288572371006012
681,-0.014395186677575111,0.4804729223251343
682,0.058904677629470825,0.48674365878105164
683,0.0783817395567894,0.4461871385574341
684,0.03692886233329773,0.37936538457870483
685,-0.0011920016258955002,0.47501832246780396
686,0.07362598180770874,0.39693641662597656
